######################################################################								
# Company:	LCL_JoeFresh							
# URL:	www.beautyboutique.ca							
# Site:	www.beautyboutique.ca							
# Range:	Fri. 24 Nov. 2017 - Thu. 30 Nov. 2017							
# Report:	Last Touch Channel Report							
# Description:								
######################################################################								
# Report Options:								
# Report Type: 	Ranked							
# Selected Metrics: 	"Revenue, Visits, Orders"							
# Broken Down by: 	Last Touch Channel Detail							
# Data Filter: 	None							
# Compare to Report Suite: 	None							
# Compare to Segment: 	None							
# Selected Last Touch Channel: 	Paid Social: Facebook							
# Percent Shown as: 	Number							
# Segment: 	All Visits (No Segment)							
######################################################################								
#								
# Copyright 2017 Adobe Systems Incorporated. All rights reserved.								
# Use of this document signifies your agreement to the Terms of Use (http://marketing.adobe.com/resources/help/terms.html?type=prod&locale=en_US) and Online Privacy Policy (http://my.omniture.com/x/privacy).								
# Adobe Systems Incorporated products and services are licensed under the following Netratings patents: 5675510 5796952 6115680 6108637 6138155 6643696 and 6763386.								
#								
######################################################################								
								
Last Touch Channel by Last Touch Channel Detail 		Revenue		Visits		Orders		
1	Paid Social: Facebook	4315		16252		38		
	1	fb_P11_ca_BB-DynamicRemarketing-Oct6_AbandonedCartt10Days-Carousel-V1	1867	43.30%	1315	8.10%	15	39.50%
	2	fb_P11_ca_BB-DynamicRemarketing-Oct6_AbandonedCartt30Days-Carousel-V2	248	5.70%	2	0.00%	1	2.60%
	3	fb_P12_BB-BFWeekend-Nov25_BluecoreLookalike_EN_Carousel_V1_C1	218	5.10%	673	4.10%	1	2.60%
	4	fb_P12_ca_BB-CyberMonday-Nov27_LookalikeLikelihoodtoConvertHigh-Collection-V2	189	4.40%	530	3.30%	2	5.30%
	5	fb_P12_ca_BB-BlackFridayWeekend-Nov25_LikelihoodtoConvertHigh-Collection-EN	180	4.20%	129	0.80%	1	2.60%
	6	fb_P13_BB-Free-Shipping_Beauty-Top-10_EN_Standard_V1	168	3.90%	142	0.90%	1	2.60%
	7	fb_P12_ca_BB-BlackFridayWeekend-Nov25_LookalikePredictedCLVTop10-Collection-EN	165	3.80%	338	2.10%	1	2.60%
	8	fb_P12_BB-BFWeekend-Nov25_Bluecore_EN_Carousel_V1_C1	146	3.40%	462	2.80%	1	2.60%
	9	fb_P11_ca_BB-DynamicRemarketing-Oct6_ProductViewers60Days-Carousel-V1	126	2.90%	335	2.10%	2	5.30%
	10	fb_P12_BB-BFWeekend-Nov25_BluecoreLookalike_EN_Carousel_V1_C8	110	2.50%	114	0.70%	1	2.60%
	11	fb_P12_ca_BB-DynamicRemarketing-Oct6_CrossSelling14Days-Carousel-V1	95	2.20%	72	0.40%	1	2.60%
	12	fb_P12_BB-BFWeek-Nov20_Bluecore_EN_IGcarousel_V1_C1	95	2.20%	13	0.10%	1	2.60%
	13	fb_P12_ca_BB-BlackFridayWeekend-Nov25_LookalikeLifecycleRepeatBuyer-Collection-EN	93	2.20%	332	2.00%	1	2.60%
	14	fb_P12_ca_BB-BlackFridayWeekend-Nov25_LookalikePredictedCLVTop10-Collection-FR	91	2.10%	13	0.10%	1	2.60%
	15	fb_P12_BB-BFWeekend-Nov25_BluecoreLookalike_EN_Carousel_V1_C3	87	2.00%	192	1.20%	1	2.60%
	16	fb_P12_ca_BB-CyberMonday-Nov27_LookalikeLifeCycleActiveBuyer-Collection-V2	85	2.00%	381	2.30%	1	2.60%
	17	fb_P12_BB-Holiday-Value-Prop_Bluecore_EN_Carousel_V3_C3	85	2.00%	1	0.00%	1	2.60%
	18	fb_P11_ca_BB-DynamicRemarketing-Oct6_ProductViewers10Days-Carousel-V1	80	1.90%	930	5.70%	1	2.60%
	19	fb_P12_BB-CyberMonday-Nov27_Bluecore_EN_Carousel_V1_C1	80	1.90%	784	4.80%	1	2.60%
	20	fb_P12_BB-BFWeekend-Nov25_BluecoreLookalike_EN_Carousel_V1_C2	60	1.40%	196	1.20%	1	2.60%
	21	fb_P13_BB-Free-Shipping_LAL_EN_Standard_V1	27	0.60%	518	3.20%	1	2.60%
	22	fb_P12_ca_BB-FreeShipping-Nov28_LookalikeLikelihoodtoConvertHigh-Collection	20	0.50%	348	2.10%	1	2.60%
	23	fb_P12_BB-CyberMonday-Nov27_BluecoreLookalike_EN_Carousel_V1_C1	0	0.00%	1170	7.20%	0	0.00%
	24	fb_P12_ca_BB-CyberMonday-Nov27_LookalikeLifeCycleRepeatBuyer-Collection-V2	0	0.00%	525	3.20%	0	0.00%
	25	fb_P12_BB-BFWeekend-Nov25_BluecoreLookalike_EN_IGstandard_V1	0	0.00%	447	2.80%	0	0.00%
	26	fb_P11_ca_BB-DynamicRemarketing-Oct6_AbandonedCartt30Days-Carousel-V1	0	0.00%	436	2.70%	0	0.00%
	27	fb_P12_ca_BB-BlackFridayWeekend-Nov25_LookalikeLikelihoodtoConvertHigh-Collection-EN	0	0.00%	341	2.10%	0	0.00%
	28	fb_P12_ca_BB-FreeShipping-Nov28_LookalikeTopBeautyCustomerEmails-Collection	0	0.00%	339	2.10%	0	0.00%
	29	fb_P12_ca_BB-FreeShipping-Nov28_LookalikePredictedCLVTop10-Collection	0	0.00%	323	2.00%	0	0.00%
	30	fb_P12_ca_BB-FreeShipping-Nov28_LookalikeLifecycleActiveBuyer-Collection	0	0.00%	297	1.80%	0	0.00%
	31	fb_P12_ca_BB-BlackFridayWeekend-Nov25_LookalikeLifecycleActiveBuyer-Collection-EN	0	0.00%	288	1.80%	0	0.00%
	32	fb_P12_ca_BB-CyberMonday-Nov27_LookalikePredictedCLVTop10-Collection-V1	0	0.00%	239	1.50%	0	0.00%
	33	fb_P11_ca_BB-DynamicRemarketing-Oct6_ProductViewers30Days-Carousel-V1	0	0.00%	228	1.40%	0	0.00%
	34	fb_P12_BB-BFWeekend-Nov25_Bluecore_EN_IGstandard_V1	0	0.00%	224	1.40%	0	0.00%
	35	fb_P12_BB-CyberMonday-Nov27_BluecoreLookalike_EN_Carousel_V1_C2	0	0.00%	209	1.30%	0	0.00%
	36	fb_P12_ca_BB-CyberMonday-Nov27_LookalikePredictedCLVTop10-Collection-V2	0	0.00%	190	1.20%	0	0.00%
	37	fb_P12_ca_BB-FreeShipping-Nov28_TopBeautyCustomerEmails-Collection	0	0.00%	165	1.00%	0	0.00%
	38	fb_P12_ca_BB-CyberMonday-Nov27_LookalikeLikelihoodtoConvertHigh-Collection-V1	0	0.00%	163	1.00%	0	0.00%
	39	fb_P12_BB-CyberMonday-Nov27_BluecoreLookalike_EN_Carousel_V1_C3	0	0.00%	148	0.90%	0	0.00%
	40	fb_P11_ca_BB-DynamicRemarketing-Oct6_AbandonedCartt60Days-Carousel-V1	0	0.00%	131	0.80%	0	0.00%
	41	fb_P11_ca_BB-BlackFridayWeek-Nov20_LookalikePredictedCLV75to90-Collection-V2	0	0.00%	126	0.80%	0	0.00%
	42	fb_P11_ca_BB-BlackFridayWeek-Nov20_LookalikeViewedProductSkinCare60Days-Collection-V2	0	0.00%	121	0.70%	0	0.00%
