######################################################################
# Company:,LCL_JoeFresh
# URL:,www.beautyboutique.ca
# Site:,www.beautyboutique.ca
# Range:,Fri. 24 Nov. 2017 - Thu. 30 Nov. 2017
# Report:,Last Touch Channel Report
# Description:,""
######################################################################
# Report Options:
# Report Type: ,"Ranked"
# Selected Metrics: ,"Revenue, Visits, Orders"
# Broken Down by: ,"None"
# Data Filter: ,"None"
# Compare to Report Suite: ,"None"
# Compare to Segment: ,"None"
# Item Filter: ,"None"
# Percent Shown as: ,"Number"
# Segment: ,"All Visits (No Segment)"
######################################################################
#
# Copyright 2017 Adobe Systems Incorporated. All rights reserved.
# Use of this document signifies your agreement to the Terms of Use (http://marketing.adobe.com/resources/help/terms.html?type=prod&locale=en_US) and Online Privacy Policy (http://my.omniture.com/x/privacy).
# Adobe Systems Incorporated products and services are licensed under the following Netratings patents: 5675510 5796952 6115680 6108637 6138155 6643696 and 6763386.
#
######################################################################

,Last Touch Channel,Revenue,,Visits,,Orders,
1.,Affiliate,312551,20.4%,28217,7.7%,2168,19.6%
2.,Shoppersdrugmart.ca,264330,17.2%,60204,16.4%,1897,17.1%
3.,Email,235893,15.4%,54650,14.9%,1571,14.2%
4.,Direct,223720,14.6%,47255,12.8%,1956,17.7%
5.,Session Refresh,165109,10.8%,10954,3.0%,1115,10.1%
6.,Email - SDM,110232,7.2%,58620,15.9%,711,6.4%
7.,Organic Search,108548,7.1%,52484,14.3%,809,7.3%
8.,Paid Search Branded,77287,5.0%,13795,3.7%,540,4.9%
9.,Paid Search: Shopping,14932,1.0%,20859,5.7%,140,1.3%
10.,Referring Domains,8023,0.5%,5619,1.5%,65,0.6%
11.,Murale,5102,0.3%,2135,0.6%,34,0.3%
12.,Paid Social: Facebook,4315,0.3%,16252,4.4%,38,0.3%
13.,Paid Search Unbranded,2298,0.1%,3323,0.9%,10,0.1%
14.,Organic Social,1018,0.1%,3599,1.0%,7,0.1%
15.,Social - SDM,257,0.0%,2817,0.8%,2,0.0%
16.,Marketing/Partnerships,169,0.0%,669,0.2%,2,0.0%
17.,Display,0,0.0%,968,0.3%,0,0.0%
18.,Paid Social: Instagram,0,0.0%,2,0.0%,0,0.0%

