"Campaign report (November 24, 2017 - November 30, 2017)"
Request Id: b93a8a14-675d-8bc2-fd6a-0bacc1830091

Campaign ID,Status,Campaign,Budget,Budget Type,Delivery,Campaign Type,Bid Strategy Type,Labels,Clicks,Impr.,CTR,Avg. CPC,Spend,Avg. pos.
[141792681],Enabled,Branded - Core - BMM,50,DailyBudgetStandard,Eligible,Search & content,EnhancedCpc,,63,149,42.28%,1.03,64.7,1.04
[141792682],Enabled,Branded - Core - EXA,100,DailyBudgetStandard,Eligible,Search & content,EnhancedCpc,,231,419,55.13%,0.81,187.61,1.02
[141792683],Enabled,Branded - Core - PHR,50,DailyBudgetStandard,Eligible,Search & content,EnhancedCpc,,201,318,63.21%,1.1,220.25,1.01
[141792684],Enabled,Branded - French - EXA,60,DailyBudgetStandard,Eligible,Search & content,EnhancedCpc,,5,12,41.67%,0.12,0.59,1
[141792685],Enabled,Branded - French - PHR,40,DailyBudgetStandard,Eligible,Search & content,EnhancedCpc,,4,12,33.33%,0.05,0.18,1
[141792686],Paused,Branded - Generic - Products,10,DailyBudgetStandard,Campaign paused,Search & content,ManualCpc,,0,0,0%,0,0,0
[141792687],Paused,Branded - Optimum - Points,130,DailyBudgetStandard,Campaign paused,Search & content,ManualCpc,,0,0,0%,0,0,0
[141792688],Paused,Branded - Vendor - Brands,5,DailyBudgetStandard,Campaign paused,Search & content,ManualCpc,,0,0,0%,0,0,0
[141792689],Paused,Non-Brand - BP - Benefit,15,DailyBudgetStandard,Campaign paused,Search & content,ManualCpc,,0,0,0%,0,0,0
[141792690],Paused,Non-Brand - BP - Biotherm,5,DailyBudgetStandard,Campaign paused,Search & content,ManualCpc,,0,0,0%,0,0,0
[141792691],Paused,Non-Brand - BP - Clarins,5,DailyBudgetStandard,Campaign paused,Search & content,ManualCpc,,0,0,0%,0,0,0
[141792692],Paused,Non-Brand - BP - Dior,5,DailyBudgetStandard,Campaign paused,Search & content,ManualCpc,,0,0,0%,0,0,0
[141792693],Paused,Non-Brand - BP - Dolce - Gabbana,5,DailyBudgetStandard,Campaign paused,Search & content,ManualCpc,,0,0,0%,0,0,0
[141792694],Paused,Non-Brand - BP - Makeup,5,DailyBudgetStandard,Campaign paused,Search & content,ManualCpc,,0,0,0%,0,0,0
[141792695],Paused,Non-Brand - BP - Philosophy,15,DailyBudgetStandard,Campaign paused,Search & content,ManualCpc,,0,0,0%,0,0,0
