Campaign report
"November 24, 2017 - November 30, 2017"
Campaign status,Campaign,Budget name,Budget,Budget type,Status,Bid strategy type,Campaign type,Bid strategy,Clicks,Impr.,CTR,Avg. CPC,Cost
Paused,Non-Brand - BP - Dolce - Gabbana, --,$5.00,Daily,Paused,Manual CPC,Search, --,0,0,0.00%,$0.00,$0.00
Paused,Non-Brand - Boxing - Week - Exact, --,$100.00,Daily,Paused,Manual CPC,Search, --,0,0,0.00%,$0.00,$0.00
Paused,Non-Brand - BP - Lacoste, --,$10.00,Daily,Paused,Manual CPC,Search, --,0,0,0.00%,$0.00,$0.00
Paused,Non-Brand - BP - Fragrance - Broad, --,$8.00,Daily,Paused,Manual CPC,Search, --,0,0,0.00%,$0.00,$0.00
Paused,Non-Brand - BP - Makeup - BMM, --,$30.00,Daily,Paused,Manual CPC,Search, --,0,0,0.00%,$0.00,$0.00
Paused,Non-Brand - Black - Friday - Exact, --,$100.00,Daily,Paused,Manual CPC,Search, --,0,0,0.00%,$0.00,$0.00
Paused,Non-Brand - BP - Chanel, --,$10.00,Daily,Paused,Target Outranking Share,Search,Non-Brand - BP - Chanel - Target outranking share,0,0,0.00%,$0.00,$0.00
Paused,Non-Brand - BP - Bioderma, --,$10.00,Daily,Paused,Manual CPC,Search, --,0,0,0.00%,$0.00,$0.00
Paused,Non-Brand - BP - Hugo - Boss, --,$5.00,Daily,Paused,Manual CPC,Search, --,0,0,0.00%,$0.00,$0.00
Paused,Non-Brand - Competitors - Sephora, --,$25.00,Daily,Paused,Manual CPC,Search, --,0,0,0.00%,$0.00,$0.00
Enabled,Branded - FR - Broad, --,$8.00,Daily,Eligible,CPC (enhanced),Search, --,31,117,26.50%,$0.30,$9.43
Enabled,Branded - FR - Phrase, --,$8.00,Daily,Eligible,CPC (enhanced),Search, --,49,114,42.98%,$0.23,$11.33
Paused,Non-Brand - BP - YSL, --,$5.00,Daily,Paused,Manual CPC,Search, --,0,0,0.00%,$0.00,$0.00
Enabled,Branded - FR - Pharmaprix - Broad, --,$30.00,Daily,Eligible,CPC (enhanced),Search, --,48,125,38.40%,$1.35,$64.58
Paused,Non-Brand - Generic - Fragrance, --,$10.00,Daily,Paused,Manual CPC,Search, --,0,0,0.00%,$0.00,$0.00
Paused,Non-Brand - Generic - Body, --,$40.00,Daily,Paused,Manual CPC,Search, --,0,0,0.00%,$0.00,$0.00
Paused,Non-Brand - BP - Fragrance - Exact, --,$10.00,Daily,Paused,Manual CPC,Search, --,0,0,0.00%,$0.00,$0.00
